username,status,reason,source,country,followers,avg_views_10,engagement_rate,shop_signals,shop_valid,shop_proof,shop_proof_method,email,email_source,email_verified,bio_url,bio,profile_url,source_url,fastmoss_units_sold,fastmoss_gmv,fastmoss_seller_id
magicallyglynnis,,,tikhub_search,,,,,,,,,,,,,,,,,,
christinaerkhova,,,tikhub_search,,,,,,,,,,,,,,,,,,
lizerxoo,,,tikhub_search,,,,,,,,,,,,,,,,,,
lifewithneillaa,,,tikhub_search,,,,,,,,,,,,,,,,,,
bykomalzaidi,,,tikhub_search,,,,,,,,,,,,,,,,,,
emmainireland,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc_miya,,,tikhub_search,,,,,,,,,,,,,,,,,,
leia_socials,,,tikhub_search,,,,,,,,,,,,,,,,,,
lysa.glt,,,tikhub_search,,,,,,,,,,,,,,,,,,
juliette.viral,,,tikhub_search,,,,,,,,,,,,,,,,,,
lescollabsdemimi,,,tikhub_search,,,,,,,,,,,,,,,,,,
alice__ndr,,,tikhub_search,,,,,,,,,,,,,,,,,,
dorlanee,,,tikhub_search,,,,,,,,,,,,,,,,,,
maja.wich.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcbylea_de,,,tikhub_search,,,,,,,,,,,,,,,,,,
kathrin.appelhoff,,,tikhub_search,,,,,,,,,,,,,,,,,,
sina_ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
nadsaboutyou.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
katharinaum.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
lucamaximilians,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcsophiaeliana,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc_byjuli,,,tikhub_search,,,,,,,,,,,,,,,,,,
angiefromthebl0ck,,,tikhub_search,,,,,,,,,,,,,,,,,,
sandys_ugcelite,,,tikhub_search,,,,,,,,,,,,,,,,,,
carimamoecklin,,,tikhub_search,,,,,,,,,,,,,,,,,,
janiine_miirbach,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc_by_celine,,,tikhub_search,,,,,,,,,,,,,,,,,,
ruths.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
svea.creates,,,tikhub_search,,,,,,,,,,,,,,,,,,
sarah.creates.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
milena.ugc.creator,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc.bysophie,,,tikhub_search,,,,,,,,,,,,,,,,,,
sanisocials,,,tikhub_search,,,,,,,,,,,,,,,,,,
chiaraheimann,,,tikhub_search,,,,,,,,,,,,,,,,,,
mariewssw.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
sara.smmk,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcwith.julia,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc.byenolaewert,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcamelie,,,tikhub_search,,,,,,,,,,,,,,,,,,
juliakeck.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
nikitaray_ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
annixmsr,,,tikhub_search,,,,,,,,,,,,,,,,,,
michelle_schuetza,,,tikhub_search,,,,,,,,,,,,,,,,,,
glow.by.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
jasminll.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
katharinalegler.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
createwith.leah,,,tikhub_search,,,,,,,,,,,,,,,,,,
